Issue,Issue Number,Issue Title,Series Start Year,Issue Published Year,TBP,Availability,Storyline,Story Order,Status,cover_image_url
Action Comics,1,,1938,1938,Superman : A Celebration of 75 Years,Library,Superman Origins,1,,
Action Comics ,2,,1938,1938,Superman : A Celebration of 75 Years,Library,Superman Origins,2,,
Superman,17,,1939,1939,Superman : A Celebration of 75 Years,Library,Superman Origins,3,,
Adventure Comics,247,,1938,1958,Legion of Super-Heroes: The Silver Age Vol. 1,Hoopla,Legion of Superheroes Origins,1,,
Detective Comics,27,,1937,1939,Batman: The Golden Age Vol. 1,Hoopla,Batman Origins,1,,
Detective Comics,38,,1937,1940,Batman: The Golden Age Vol. 1,Hoopla,Batman Origins,2,,
Batman,1,,1940,1940,Batman: The Golden Age Vol. 1,Hoopla,Batman Origins,3,,
Superboy,89,,1949,1961,Legion of Super-Heroes: The Silver Age Vol. 1,Hoopla,Legion of Superheroes Origins,2,,
My Greatest Adventure,80,,1955,1963,Doom Patrol: The Silver Age Vol. 1,Hoopla,Doom Patrol Origins,1,,
My Greatest Adventure,81,,1955,1963,Doom Patrol: The Silver Age Vol. 1,Hoopla,Doom Patrol Origins,2,,
My Greatest Adventure,82,,1955,1963,Doom Patrol: The Silver Age Vol. 1,Hoopla,Doom Patrol Origins,3,,
Superman,147,,1939,1961,Legion of Super-Heroes: The Silver Age Vol. 1,Hoopla,Legion of Superheroes Origins,3,,
DC: The New Frontier,1,,2004,2004,DC: The New Frontier: Black Label Edition,Hoopla,DC: The New Frontier,1,,
DC: The New Frontier,2,,2004,2004,DC: The New Frontier: Black Label Edition,Hoopla,DC: The New Frontier,2,,
DC: The New Frontier,3,,2004,2004,DC: The New Frontier: Black Label Edition,Hoopla,DC: The New Frontier,3,,
DC: The New Frontier,4,,2004,2004,DC: The New Frontier: Black Label Edition,Hoopla,DC: The New Frontier,4,,
DC: The New Frontier,5,,2004,2004,DC: The New Frontier: Black Label Edition,Hoopla,DC: The New Frontier,5,,
DC: The New Frontier,6,,2004,2004,DC: The New Frontier: Black Label Edition,Hoopla,DC: The New Frontier,6,,
Showcase,4,,1956,1956,The Flash: 80 Years of the Fastest Man Alive,Hoopla,The Flash Origins,1,,
