Issue,Issue Number,Issue Title,Series Start Year,Issue Published Year,TBP,Availability,Storyline,Story Order,Status,cover_image_url
Action Comics,1,,1938,1938,Superman : A Celebration of 75 Years,Library,Superman Origins,1,,
Action Comics ,2,,1938,1938,Superman : A Celebration of 75 Years,Library,Superman Origins,2,,
Superman,17,,1939,1939,Superman : A Celebration of 75 Years,Library,Superman Origins,3,,
Superman,53,,1939,1948,Superman : A Celebration of 75 Years,Library,Superman Origins,4,,
Superman,61,,1939,1949,N/A,DC Infinite,Superman Origins,5,,
Superman,65,,1939,1950,Superman in the Fifties,Hoopla,Superman Origins,6,,
Superman,76,,1939,1952,Superman : A Celebration of 75 Years,Library,Superman Origins,7,,
World's Finest ,68,,1941,1954,Superman in the Fifties,Hoopla,Superman Origins,8,,
Superman,96,,1939,1955,Superman in the Fifties,Hoopla,Superman Origins,9,,
Superman,97,,1939,1955,Superman in the Fifties,Hoopla,Superman Origins,10,,
Adventure Comics,210,,1938,1955,Superman in the Fifties,Hoopla,Superman Origins,11,,
Showcase,9,,1956,1957,Superman in the Fifties,Hoopla,Superman Origins,12,,
Action Comics,242,,1938,1958,Superman in the Fifties,Hoopla,Superman Origins,13,,
Action Comics,252,,1938,1959,Superman in the Fifties,Hoopla,Superman Origins,14,,
Superman,129,,1939,1959,Superman : A Celebration of 75 Years,Library,Superman Origins,15,,
"Superman's Girl Friend, Lois Lane",8,,1958,1959,Superman in the Fifties,Hoopla,Superman Origins,16,,
Action Comics,254,,1938,1959,Superman in the Fifties,Hoopla,Superman Origins,17,,
Superman,141,,1939,1960,Superman : A Celebration of 75 Years,Library,Superman Origins,18,,
Superman,149,,1939,1961,Superman : A Celebration of 75 Years,Library,Superman Origins,19,,
Superman,247,,1939,1972,Superman : A Celebration of 75 Years,Library,Superman Origins,20,,
Detective Comics,27,,1937,1939,Batman: The Golden Age Vol. 1,Hoopla,Batman Origins,1,,
Detective Comics,38,,1937,1940,Batman: The Golden Age Vol. 1,Hoopla,Batman Origins,2,,
Batman,1,,1940,1940,Batman: The Golden Age Vol. 1,Hoopla,Batman Origins,3,,
Batman,47,,1940,1948,N/A,DC Infinite,Batman Origins,4,,
Detective Comics,168,,1937,1950,Batman in the Fifties,Hoopla,Batman Origins,5,,
Detective Comics,235,,1937,1956,Batman in the Fifties,Hoopla,Batman Origins,6,,
Superman,30,,1939,1944,World's Funnest,Hoopla,Mr. Mxyzptlk Origins,1,,
World's Finest,113,,1941,1960,World's Funnest,Hoopla,Mr. Mxyzptlk Origins,2,,
DC Special,29,,1975,1977,N/A,DC Infinite,JSA: The Untold Origin of the Justice Society,1,,
Golden Age Secret Files,1,,2001,2001,The Justice Society Returns!,Reference Library/DC Infinite,JSA: The Dawn of the Golden Age,1,,
The Golden Age,1,,1993,1993,JSA: The Golden Age (2024 Edition),Hoopla,JSA: The Golden Age,1,,
The Golden Age,2,,1993,1993,JSA: The Golden Age (2024 Edition),Hoopla,JSA: The Golden Age,2,,
The Golden Age,3,,1993,1994,JSA: The Golden Age (2024 Edition),Hoopla,JSA: The Golden Age,3,,
The Golden Age,4,,1993,1994,JSA: The Golden Age (2024 Edition),Hoopla,JSA: The Golden Age,4,,
DC: The New Frontier,1,,2004,2004,DC: The New Frontier: Black Label Edition,Hoopla,DC: The New Frontier,1,,
DC: The New Frontier,2,,2004,2004,DC: The New Frontier: Black Label Edition,Hoopla,DC: The New Frontier,2,,
DC: The New Frontier,3,,2004,2004,DC: The New Frontier: Black Label Edition,Hoopla,DC: The New Frontier,3,,
DC: The New Frontier,4,,2004,2004,DC: The New Frontier: Black Label Edition,Hoopla,DC: The New Frontier,4,,
DC: The New Frontier,5,,2004,2004,DC: The New Frontier: Black Label Edition,Hoopla,DC: The New Frontier,5,,
DC: The New Frontier,6,,2004,2004,DC: The New Frontier: Black Label Edition,Hoopla,DC: The New Frontier,6,,
Showcase,4,,1956,1956,The Flash: 80 Years of the Fastest Man Alive,Hoopla,The Flash Origins,1,,
The Flash,110,,1959,1960,The Flash: 80 Years of the Fastest Man Alive,Hoopla,The Flash Origins,2,,
The Flash,123,,1959,1961,The Flash: 80 Years of the Fastest Man Alive,Hoopla,The Flash Origins,3,,
The Flash,155,,1959,1965,The Flash: 80 Years of the Fastest Man Alive,Hoopla,The Flash Origins,4,,
Adventure Comics,247,,1938,1958,Legion of Super-Heroes: The Silver Age Vol. 1,Hoopla,Legion of Superheroes Origins,1,,
Superboy,89,,1949,1961,Legion of Super-Heroes: The Silver Age Vol. 1,Hoopla,Legion of Superheroes Origins,2,,
Superman,147,,1939,1961,Legion of Super-Heroes: The Silver Age Vol. 1,Hoopla,Legion of Superheroes Origins,3,,
